net,length_um
net8,767.58
_052_,737.78
_217_,733.75
_183_,726.42
_189_,694.27
_021_,691.96
net7,657.36
_241_,652.8
_218_,648.98
net9,632.96
net1,630.54
_019_,621.13
_176_,614.07
net18,599.02
_180_,598.58
net4,586.16
_203_,575.855
net14,575.74
net19,556.96
_195_,556.9
_193_,553.635
net16,544.36
_198_,540.98
net17,531.92
_197_,530.7
net13,510.61
_196_,500.78
_245_,495.5
net10,492.34
_240_,487.54
net6,487.52
_200_,480.26
net63,479.52
net15,478.46
_191_,471.44
_230_,468.46
_238_,463.74
_024_,463.08
_229_,461.73
net11,452.66
_067_,449.34
_081_,438.64
_185_,437.06
_074_,436.76
_119_,433.8
_110_,432.52
_066_,432.22
_190_,432.16
_244_,430.005
_035_,429.02
_168_,428.62
_169_,428.01
_099_,416.02
_102_,412.56
_040_,407.3
_186_,401.94
net12,400.275
net65,399.14
_233_,395.04
_155_,394.62
_187_,394.44
_152_,392.55
_038_,390.135
_080_,389.78
net21,388.6
_048_,386.78
_058_,385.7
net32,384.12
_108_,379.49
_041_,374.88
_234_,371.42
_053_,370.26
_002_,368.05
_182_,364.12
_104_,363.7
_095_,357.62
_065_,356.5
net47,356.44
_034_,349.64
_092_,347.88
net5,347.44
_062_,344.46
_213_,343.92
_000_,342.04
_192_,341.31
_028_,340.18
_077_,335.46
_224_,333.8
_109_,333.74
_228_,333.24
_153_,330.28
_033_,329.74
net22,329.67
_243_,329.48
_162_,327.84
_054_,326.64
_094_,324.24
_069_,322.78
_029_,321.78
_148_,320.84
_055_,320.56
_012_,320.12
_013_,319.78
net31,319.14
_042_,316.66
_231_,314.44
_164_,313.58
_112_,311.8
_061_,311.5
_056_,309.36
_022_,305.3
_149_,303.82
_106_,302.82
_163_,302.42
_120_,298.9
_031_,298.64
_167_,297.98
net44,294.5
_075_,294.16
_133_,293.81
_025_,292.48
_141_,291.96
_227_,288.65
_146_,287.06
_188_,287.04
_147_,286.76
_093_,286.385
_216_,284.64
_166_,282.7
net26,282.46
_116_,277.94
_091_,276.28
_096_,269.88
_175_,268.42
_020_,268.16
_030_,267.5
net2,266.96
net66,266.765
_085_,266.32
_123_,260.1
_170_,259.96
_107_,258.52
_076_,253.78
_129_,252.52
_136_,251.45
_134_,251.44
_063_,249.78
_003_,248.86
_161_,248.52
_010_,247.68
_111_,245.165
_232_,243.02
_026_,238.46
_098_,238.16
_242_,236.66
_100_,236.46
_204_,235.86
_032_,234.02
_007_,233.3
_208_,231.5
net24,231.38
_246_,230.86
_117_,229.8
_027_,226.04
net20,225.08
_105_,224.67
_082_,223.18
_118_,223.08
_101_,222.1
_070_,222
_140_,221.94
net3,220.98
_137_,219.96
_045_,217.26
_036_,216.74
_103_,216.2
_154_,215.82
net27,210.92
_132_,210.74
_073_,210.06
_130_,209.74
_006_,207.8
_043_,207
_215_,206.78
net48,206.66
net43,205.6
_039_,204.64
_236_,204.5
_139_,202.6
_212_,202.5
_150_,199.92
_237_,196.86
_049_,196.32
_209_,196.32
_145_,194.8
_122_,194.46
_194_,193.51
_171_,192.57
_005_,191.92
_173_,191.64
_078_,188.68
_090_,185
_047_,182.12
_159_,181.48
net23,176.78
_143_,176.62
_181_,175.02
_018_,172.12
_157_,171.92
net35,169.68
_046_,167.28
_084_,165.18
_121_,164.42
_071_,164.26
net28,161.32
_225_,157.72
_001_,156.7
_044_,156.04
_114_,155.06
_004_,153.9
_068_,151.62
net57,151.16
_142_,150.6
_088_,150.3
_223_,147.73
_221_,146.39
_206_,145.94
_060_,145.46
net25,145.08
_165_,143.2
_050_,143
_008_,141.92
_205_,139
_239_,137.46
net29,137.02
_023_,136.58
net41,136.22
_135_,135.58
_064_,135.48
_179_,133.185
_156_,130.06
_210_,129.88
_089_,129.14
net60,127.86
_184_,126.98
_226_,126.8
_083_,125.66
net61,123.425
_201_,118.82
net34,117.32
_072_,112.64
_158_,112.6
net42,112.22
_178_,111.36
_220_,111.32
net52,110.12
_079_,107.92
net38,105.5
_214_,103.38
net30,103.18
_125_,103.02
_128_,102.92
_014_,102.42
_127_,99.76
_037_,98.76
_009_,98.72
net49,97.88
_199_,94.42
_235_,94.34
net59,92.96
net55,88.7
net40,86.66
net54,85.28
_202_,79.36
_097_,77.1
_126_,76.3
_051_,75.06
_247_,73.08
_172_,72.86
_131_,72.1
net56,70.5
_144_,69.04
net50,65.1
_177_,63.88
net39,63.26
_086_,61.4
_207_,60.3
_222_,59.6
_057_,58.48
_113_,58.46
net53,56.9
_138_,51.78
_115_,51.46
_087_,50.48
_124_,47.52
_017_,43.46
_174_,42.62
_151_,41.26
net33,39.86
_011_,39.58
net46,38.78
_059_,35.36
_211_,34.8
net36,32.3
net58,31.94
_160_,31.5
_015_,29.58
_016_,26.84
net37,24.8
B[1],14.99
net64,14.92
opcode[1],14.68
net45,13.66
B[6],10.91
opcode[2],10.54
out[6],10.22
opcode[0],9.74
out[2],9.42
out[7],9.06
out[0],8.96
out[1],8.96
out[3],8.96
out[4],8.5
out[5],8.5
A[2],6.31
A[6],6.31
B[2],6.31
A[0],5.97
A[4],5.97
B[3],5.29
A[1],4.95
A[3],4.95
A[5],4.95
B[5],4.95
B[7],4.95
A[7],4.61
B[0],3.93
B[4],3.93
_219_,3.42
net51,3.1
net62,1.7
